Task;Start Date;End Date;Duration (days)
Literature Review and Background Analysis;14/11/2024;04/12/2024;20
General Theory of Beta Estimation and Boundary Layer Analysis;05/12/2024;12/12/2024;7
Review of Previous Studies on ICP, BL, Stagline, and OpenFOAM;13/12/2024;20/12/2024;7
Evaluation of Existing Models and Tools;21/12/2024;31/12/2024;10
ICP and BL Code: Applications, Limitations, and Validation;01/01/2025;08/01/2025;7
Stagline Code: Capabilities, Dependencies, and Setup;09/01/2025;16/01/2025;7
OpenFOAM Investigation;17/01/2025;24/01/2025;7
Summary of Insights for Data Comparison;25/01/2025;28/01/2025;3
Tool Comparison and Beta Evaluation;29/01/2025;18/02/2025;20
Computational Beta Generation;19/02/2025;01/03/2025;10
Generate Beta with Stagline Code using ICP I.C.s;02/03/2025;07/03/2025;5
Integrate OpenFOAM for Beta Evaluation (optional);08/03/2025;13/03/2025;5
Comparative Analysis;14/03/2025;24/03/2025;10
Analysis of ICP, ICP + BL, Stagline, and OpenFOAM Outputs;25/03/2025;01/04/2025;7
Corrections for Velocity Gradient Computation;02/04/2025;05/04/2025;3
Experimental Conditions Expansion;06/04/2025;21/04/2025;15
Experimental Data Handling;22/04/2025;02/05/2025;10
Pre-process Experimental Data;03/05/2025;08/05/2025;5
Reliability Assessment and Beta Validation;09/05/2025;24/05/2025;15
Compare Experimental and Computational Beta Outputs;25/05/2025;01/06/2025;7
Reliability and Consistency Check of Computational Tools;02/06/2025;07/06/2025;5
Identify Reliable Tool(s) for Beta Computation;08/06/2025;11/06/2025;3
Database Preparation;12/06/2025;02/07/2025;20
Database Structuring;03/07/2025;13/07/2025;10
Define Structure Based on Test Conditions;14/07/2025;19/07/2025;5
Outline Data Requirements;20/07/2025;25/07/2025;5
Data Population;26/07/2025;05/08/2025;10
Populate Database with Simulation Results;06/08/2025;11/08/2025;5
Integrate Experimental Data for Dataset;12/08/2025;17/08/2025;5
Data Consistency Check;18/08/2025;23/08/2025;5
Ensure Consistency Across Data Entries;24/08/2025;29/08/2025;5
Neural Network Model Development;30/08/2025;29/09/2025;30
NN Architecture Definition;30/09/2025;10/10/2025;10
Select NN Structure, Layers, Activation Functions;11/10/2025;16/10/2025;5
Define Input Parameters and Target Outputs;17/10/2025;22/10/2025;5
Training and Optimization;23/10/2025;02/11/2025;10
Train NN Using Database;03/11/2025;08/11/2025;5
Optimize Training Parameters;09/11/2025;14/11/2025;5
Validation and Testing;15/11/2025;25/11/2025;10
Validate NN Against Data;26/11/2025;01/12/2025;5
Assess Generalization and Error Rates;02/12/2025;07/12/2025;5
Documentation and Report Compilation;08/12/2025;23/12/2025;15
Compile Report;24/12/2025;03/01/2026;10
Presentation Preparation;04/01/2026;14/01/2026;10
Develop Presentation Slides;15/01/2026;20/01/2026;5
Conduct Rehearsal;21/01/2026;26/01/2026;5
